status_id,created_at,year,screen_name,text,favorite_count,retweet_count,hashtags,display_text_width
x951679619341737986,1/12/18,2018,realDonaldTrump,"Reason I canceled my trip to London is that I am not a big fan of the Obama Administration having sold perhaps the best located and finest embassy in London for äóìpeanuts,äóù only to build a new one in an off location for 1.2 billion dollars. Bad deal. Wanted me to cut ribbon-NO!",83915,21293,,277
x948404303072460800,1/3/18,2018,realDonaldTrump,"äóìPresident Trump has something now he didnäó»t have a year ago, that is a set of accomplishments that nobody can deny. The accomplishments are there, look at his record, he has had a very significant first year.äóù @LouDobbs Show,David Asman &amp; Ed Rollins",98318,21183,,254
x951416674808467461,1/11/18,2018,realDonaldTrump,Disproven and paid for by Democrats äóìDossier used to spy on Trump Campaign. Did FBI use Intel tool to influence the Election?äóù @foxandfriends  Did Dems or Clinton also pay Russians? Where are hidden and smashed DNC servers? Where are Crooked Hillary Emails?  What a mess!,74466,21160,,271
x951675713089888256,1/12/18,2018,realDonaldTrump,"The Democrats seem intent on having people and drugs pour into our country from the Southern Border, risking thousands of lives in the process. It is my duty to protect the lives and safety of all Americans. We must build a Great Wall, think Merit and end Lottery &amp; Chain. USA!",82692,20902,,281
x950105312782114817,1/7/18,2018,realDonaldTrump,"The Stock Market has been creating tremendous benefits for our country in the form of not only Record Setting Stock Prices, but present and future Jobs, Jobs, Jobs. Seven TRILLION dollars of value created since our big election win!",99294,20276,,232
x948322497602220032,1/2/18,2018,realDonaldTrump,"...peace treaty with Israel. We have taken Jerusalem, the toughest part of the negotiation, off the table, but Israel, for that, would have had to pay more. But with the Palestinians no longer willing to talk peace, why should we make any of these massive future payments to them?",93897,20135,,280
x948879774277128197,1/4/18,2018,realDonaldTrump,"With all of the failed äóìexpertsäóù weighing in, does anybody really believe that talks and dialogue would be going on between North and South Korea right now if I wasnäó»t firm, strong and willing to commit our total äóìmightäóù against the North. Fools, but talks are a good thing!",94431,20021,,274
x948738634722742273,1/4/18,2018,realDonaldTrump,"Stock Market had another good day but, now that the Tax Cut Bill has passed, we have tremendous upward potential. Dow just short of 25,000, a number that few thought would be possible this soon into my administration. Also, unemployment went down to 4.1%. Only getting better!",106244,19868,,276
x951419415794511872,1/11/18,2018,realDonaldTrump,"In new Quinnipiac Poll, 66% of people feel the economy is äóìExcellent or Good.äóù That is the highest number ever recorded by this poll.",88256,19759,,133
x951648197440569344,1/12/18,2018,realDonaldTrump,"Chrysler is moving a massive plant from Mexico to Michigan, reversing a years long opposite trend. Thank you Chrysler, a very wise decision. The voters in Michigan are very happy they voted for Trump/Pence. Plenty of more to follow!",83422,19363,,232
